Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
21,K237,THE BROOKLYN SCHOOL OF INQUIRY - K,SCA CIP RESOA,RESO A ROOFTOP GREENHOUSE,Design,Complete,4/4/2016,9/1/2016,2/27/2018,249758,307391,301384,DSF0000821680,249758.0,307391.0,301384.0,2016-04-04,2016-09-01,2018-02-27,1.2307553711993209,544,150,2016,1,21,Brooklyn,5.397519408009976,0,0,1,0,0
22,K240,I.S. 240 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / WINDOWS / EXTERIOR MASONRY,Design,Complete,4/24/2019,9/24/2019,5/17/2019,415538,270059,222807,"DSF0000871887, DSF0000871888, DSF0000871890, DSF0000871891",415538.0,270059.0,222807.0,2019-04-24,2019-09-24,2019-05-17,0.6499020546857327,-130,153,2019,0,22,Brooklyn,5.618610745173559,0,0,1,0,0
22,K240,I.S. 240 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,7/8/2019,12/9/2019,12/3/2019,45073,11082,11082,"DSF0000912065, DSF0000912773",45073.0,11082.0,11082.0,2019-07-08,2019-12-09,2019-12-03,0.24586781443436204,-6,154,2019,0,22,Brooklyn,4.653916465106381,1,0,0,0,0
22,K240,I.S. 240 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,6/25/2019,11/5/2019,7/8/2019,10016,2771,2771,"DSF0000912065, DSF0000912773",10016.0,2771.0,2771.0,2019-06-25,2019-11-05,2019-07-08,0.2766573482428115,-120,133,2019,0,22,Brooklyn,4.000694315866355,1,0,0,0,0
22,K240,I.S. 240 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,10/11/2018,3/1/2019,4/24/2019,105830,90528,88518,"DSF0000871887, DSF0000871888, DSF0000871890, DSF0000871891",105830.0,90528.0,88518.0,2018-10-11,2019-03-01,2019-04-24,0.8554096192006048,54,141,2018,0,22,Brooklyn,5.024608796126558,0,0,1,0,0
17,K241,P.S. 241 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Design,Complete,9/6/2018,4/5/2019,9/4/2019,50978,58192,58192,DSF0000798516,50978.0,58192.0,58192.0,2018-09-06,2019-04-05,2019-09-04,1.1415120247950097,152,211,2018,1,17,Brooklyn,4.707382792961376,0,0,0,0,0
17,K241,P.S. 241 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Scope,Complete,3/13/2018,9/28/2018,7/9/2018,13903,14225,14225,DSF0000798516,13903.0,14225.0,14225.0,2018-03-13,2018-09-28,2018-07-09,1.023160468963533,-81,199,2018,0,17,Brooklyn,4.143108522762512,0,0,0,0,0
17,K241,P.S. 241 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,Complete,8/21/2019,1/27/2020,2/3/2020,59732,49598,46951,DSF0000867382,59732.0,49598.0,46951.0,2019-08-21,2020-01-27,2020-02-03,0.8303421951382843,7,159,2019,0,17,Brooklyn,4.776207056424993,0,0,0,0,0
16,K243,P.S. 243 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/30/2019,12/16/2019,11/14/2019,67398,102666,96290,"DSF0000894741, DSF0000894742, DSF0000894743",67398.0,102666.0,96290.0,2019-07-30,2019-12-16,2019-11-14,1.5232796225407281,-32,139,2019,1,16,Brooklyn,4.828647009267499,0,0,1,0,0
17,K246,I.S. 246 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,8/14/2019,1/17/2020,1/22/2020,25512,4669,4669,DSF0000912690,25512.0,4669.0,4669.0,2019-08-14,2020-01-17,2020-01-22,0.18301191596111635,5,156,2019,0,17,Brooklyn,4.406744506234903,1,0,0,0,0
17,K246,I.S. 246 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS,Design,Complete,2/1/2019,7/3/2019,9/26/2019,296903,251863,197215,"DSF0000871987, DSF0000871988, DSF0000871989, DSF0000912332",296903.0,251863.0,197215.0,2019-02-01,2019-07-03,2019-09-26,0.848300623435937,85,152,2019,0,17,Brooklyn,5.472614585864362,0,0,1,0,0
17,K246,I.S. 246 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / ROOFS,Scope,Complete,10/5/2018,2/26/2019,2/1/2019,62100,108607,108231,"DSF0000871987, DSF0000871988, DSF0000871989, DSF0000912332",62100.0,108607.0,108231.0,2018-10-05,2019-02-26,2019-02-01,1.7489049919484703,-25,144,2018,1,17,Brooklyn,4.79309160017658,0,0,1,0,0
20,K247,P.S. 247 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS / FLOOD ELIMINATION,Design,Complete,3/8/2019,8/7/2019,5/15/2019,465159,278495,258433,"DSF0000894806, DSF0000894807, DSF0000894805, DSF0000894803",465159.0,278495.0,258433.0,2019-03-08,2019-08-07,2019-05-15,0.5987092585546018,-84,152,2019,0,20,Brooklyn,5.667601428200724,0,0,1,0,0
20,K247,P.S. 247 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY / ROOFS / FLOOD ELIMINATION,Scope,Complete,10/2/2018,2/21/2019,3/5/2019,118268,187961,162512,"DSF0000894806, DSF0000894807, DSF0000894805, DSF0000894803",118268.0,187961.0,162512.0,2018-10-02,2019-02-21,2019-03-05,1.589280278689079,12,142,2018,1,20,Brooklyn,5.07286725262981,0,0,1,0,0
17,K249,P.S. 249 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,7/17/2019,12/18/2019,11/13/2019,18360,5890,5890,"DSF0000912067, DSF0000912785",18360.0,5890.0,5890.0,2019-07-17,2019-12-18,2019-11-13,0.32080610021786493,-35,154,2019,0,17,Brooklyn,4.2638726768652235,1,0,0,0,0
22,K251,P.S. 251 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,3/19/2018,8/16/2018,5/17/2019,388592,238592,195688,"DSF0000888998, DSF0000781746",388592.0,238592.0,195688.0,2018-03-19,2018-08-16,2019-05-17,0.6139910240046115,274,150,2018,1,22,Brooklyn,5.589493855472156,0,1,0,0,0
22,K251,P.S. 251 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,8/9/2017,1/9/2018,12/15/2017,99037,58475,5187,"DSF0000888998, DSF0000781746",99037.0,58475.0,5187.0,2017-08-09,2018-01-09,2017-12-15,0.590435897694801,-25,153,2017,0,22,Brooklyn,4.995797476353155,0,1,0,0,0
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM,F&E",Complete,6/26/2019,2/20/2020,2/20/2020,65374,92433,87580,DSF0000867361,65374.0,92433.0,87580.0,2019-06-26,2020-02-20,2020-02-20,1.4139107290360082,0,239,2019,1,18,Brooklyn,4.815405058696692,0,0,0,0,0
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,Complete,6/26/2019,2/20/2020,2/20/2020,500095,377077,305359,DSF0000867361,500095.0,377077.0,305359.0,2019-06-26,2020-02-20,2020-02-20,0.7540107379597877,0,239,2019,0,18,Brooklyn,5.6990525124495575,0,0,0,0,0
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,Complete,6/19/2018,12/3/2018,3/28/2019,34097,42787,42787,DSF0000867361,34097.0,42787.0,42787.0,2018-06-19,2018-12-03,2019-03-28,1.2548611314778426,115,167,2018,1,18,Brooklyn,4.532716169586027,0,0,0,0,0
21,K253,P.S. 253 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,11/5/2019,3/6/2020,3/6/2020,997318,728658,646515,DSF0000911840,997318.0,728658.0,646515.0,2019-11-05,2020-03-06,2020-03-06,0.7306175161783904,0,122,2019,0,21,Brooklyn,5.998833657434078,0,0,0,0,0
21,K253,P.S. 253 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,"CM,F&E",Complete,7/20/2018,7/3/2020,2/20/2020,609207,629457,614560,"DSF0000849395, DSF0000889015, DSF0000872098, DSF0000872097",609207.0,629457.0,614560.0,2018-07-20,2020-07-03,2020-02-20,1.0332399332246676,-134,714,2018,0,21,Brooklyn,5.784764884887097,0,0,1,0,0
21,K253,P.S. 253 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Construction,Complete,7/20/2018,7/3/2020,2/20/2020,8607660,8730837,8378121,"DSF0000849395, DSF0000889015, DSF0000872098, DSF0000872097",8607660.0,8730837.0,8378121.0,2018-07-20,2020-07-03,2020-02-20,1.0143101609496659,-134,714,2018,0,21,Brooklyn,6.934885104158736,0,0,1,0,0
21,K253,P.S. 253 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Design,Complete,1/3/2018,6/5/2018,5/14/2018,476917,288584,277015,"DSF0000849395, DSF0000889015, DSF0000872098, DSF0000872097",476917.0,288584.0,277015.0,2018-01-03,2018-06-05,2018-05-14,0.6051031940568276,-22,153,2018,0,21,Brooklyn,5.678442803403892,0,0,1,0,0
21,K253,P.S. 253 - BROOKLYN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Scope,Complete,7/24/2017,12/8/2017,12/21/2017,120161,109436,109435,"DSF0000849395, DSF0000889015, DSF0000872098, DSF0000872097",120161.0,109436.0,109435.0,2017-07-24,2017-12-08,2017-12-21,0.9107447507926865,13,137,2017,0,21,Brooklyn,5.079763533946667,0,0,1,0,0
22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,Design,Complete,2/2/2018,8/17/2018,10/3/2018,3657760,3141490,1750243,DSF0000798194,3657760.0,3141490.0,1750243.0,2018-02-02,2018-08-17,2018-10-03,0.8588562398845195,47,196,2018,0,22,Brooklyn,6.563215206308502,0,0,0,0,0
22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,8/29/2017,1/30/2018,2/1/2018,1143050,627871,610283,DSF0000798194,1143050.0,627871.0,610283.0,2017-08-29,2018-01-30,2018-02-01,0.5492944315646735,2,154,2017,0,22,Brooklyn,6.058065227988597,0,0,0,0,0
22,K254,P.S. 254 - BROOKLYN,SCA CIP,PHASE III WORK ROOM CONVERSION / LOW VOLTAGE / MINOR ADA WORK,Scope,Complete,1/30/2019,5/1/2019,4/3/2019,62120,66269,66269,DSF0000798194,62120.0,66269.0,66269.0,2019-01-30,2019-05-01,2019-04-03,1.0667900837089503,-28,91,2019,0,22,Brooklyn,4.793231447056521,0,0,0,0,0
22,K255,P.S. 255 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,3/8/2019,8/7/2019,5/3/2019,829020,441804,334949,"DSF0000872131, DSF0000872132, DSF0000872133, DSF0000872134",829020.0,441804.0,334949.0,2019-03-08,2019-08-07,2019-05-03,0.5329232105377434,-96,152,2019,0,22,Brooklyn,5.918565007974718,0,0,1,0,0
22,K255,P.S. 255 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,10/16/2018,3/6/2019,3/8/2019,207255,156544,152658,"DSF0000872131, DSF0000872132, DSF0000872133, DSF0000872134",207255.0,156544.0,152658.0,2018-10-16,2019-03-06,2019-03-08,0.7553207401510217,2,141,2018,0,22,Brooklyn,5.316505016646755,0,0,1,0,0
20,K259,I.S. 259 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,12/13/2016,5/16/2017,4/26/2017,405480,446971,406626,"DSF0000798278, DSF0000798281",405480.0,446971.0,406626.0,2016-12-13,2017-05-16,2017-04-26,1.102325638749137,-20,154,2016,1,20,Brooklyn,5.607969437822521,0,1,0,0,0
20,K259,I.S. 259 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,9/1/2016,2/7/2017,12/1/2016,101370,120499,116042,"DSF0000798278, DSF0000798281",101370.0,120499.0,116042.0,2016-09-01,2017-02-07,2016-12-01,1.188704744993588,-68,159,2016,1,20,Brooklyn,5.005909446494559,0,1,0,0,0
19,K260,THE FRESH CREEK SCHOOL - BROOKLYN,SCA CIP,DEFECTIVE MASONRY / ROOFS / PARAPETS,Design,Complete,1/15/2020,6/16/2020,6/26/2020,195828,294633,61131,"DSF0000872218, DSF0000895028, DSF0000895029",195828.0,294633.0,61131.0,2020-01-15,2020-06-16,2020-06-26,1.5045499111465164,10,153,2020,1,19,Brooklyn,5.291874788468651,0,0,1,0,0
19,K260,THE FRESH CREEK SCHOOL - BROOKLYN,SCA CIP,DEFECTIVE MASONRY / ROOFS / PARAPETS,Scope,Complete,6/25/2019,11/8/2019,1/7/2020,40249,120527,37036,"DSF0000872218, DSF0000895028, DSF0000895029",40249.0,120527.0,37036.0,2019-06-25,2019-11-08,2020-01-07,2.994534025690079,60,136,2019,1,19,Brooklyn,4.604755094644832,0,0,1,0,0
15,K261,P.S. 261 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT,Scope,Complete,9/18/2018,2/6/2019,3/1/2019,58873,49264,47630,"DSF0000872231, DSF0000895047, DSF0000895046, DSF0000940371",58873.0,49264.0,47630.0,2018-09-18,2019-02-06,2019-03-01,0.8367842644336113,23,141,2018,0,15,Brooklyn,4.769916166782944,0,0,1,0,0
16,K262,P.S. 262 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,9/20/2019,2/26/2020,2/5/2020,20935,5236,5236,"DSF0000912691, DSF0000914257",20935.0,5236.0,5236.0,2019-09-20,2020-02-26,2020-02-05,0.250107475519465,-21,159,2019,0,16,Brooklyn,4.320872965227249,1,0,0,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",Complete,7/11/2016,10/3/2017,10/16/2020,375158,491347,480373,"DSF0000798255, DSF0000782007",375158.0,491347.0,480373.0,2016-07-11,2017-10-03,2020-10-16,1.3097068435165984,1109,449,2016,1,13,Brooklyn,5.574214211931888,0,1,0,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,Complete,7/11/2016,10/3/2017,10/16/2020,6029326,6309295,5720101,"DSF0000798255, DSF0000782007",6029326.0,6309295.0,5720101.0,2016-07-11,2017-10-03,2020-10-16,1.0464345434298958,1109,449,2016,1,13,Brooklyn,6.780268766395372,0,1,0,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,8/29/2014,2/4/2015,1/9/2015,321564,406750,395750,"DSF0000798255, DSF0000782007",321564.0,406750.0,395750.0,2014-08-29,2015-02-04,2015-01-09,1.264911495067856,-26,159,2014,1,13,Brooklyn,5.5072674223012745,0,1,0,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,12/30/2019,6/1/2020,6/30/2020,402408,264472,239950,"DSF0000895099, DSF0000895100, DSF0000895101",402408.0,264472.0,239950.0,2019-12-30,2020-06-01,2020-06-30,0.6572235144430528,29,154,2019,0,13,Brooklyn,5.604666606047173,0,0,1,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/30/2014,12/2/2014,8/26/2014,80391,109474,109474,"DSF0000798255, DSF0000782007",80391.0,109474.0,109474.0,2014-06-30,2014-12-02,2014-08-26,1.3617693522906793,-98,155,2014,1,13,Brooklyn,4.905207430973312,0,1,0,0,0
13,K265,I.S. 265 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/22/2019,12/6/2019,12/19/2019,80482,130073,129206,"DSF0000895099, DSF0000895100, DSF0000895101",80482.0,130073.0,129206.0,2019-07-22,2019-12-06,2019-12-19,1.6161750453517556,13,137,2019,1,13,Brooklyn,4.90569876018416,0,0,1,0,0
22,K269,P.S. 361 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,9/3/2019,2/6/2020,2/5/2020,26819,9386,9386,DSF0000912692,26819.0,9386.0,9386.0,2019-09-03,2020-02-06,2020-02-05,0.34997576345128456,-1,156,2019,0,22,Brooklyn,4.428442580279988,1,0,0,0,0
13,K270,P.S. 270 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/18/2020,11/13/2020,10/6/2020,145944,178311,155436,"DSF0000940478, DSF0000940479, DSF0000940480, DSF0000940481",145944.0,178311.0,155436.0,2020-05-18,2020-11-13,2020-10-06,1.221776845913501,-38,179,2020,1,13,Brooklyn,5.164186245124277,0,0,1,0,0
23,K271,I.S. 522 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,6/28/2017,11/30/2017,10/24/2017,445200,289534,256807,"DSF0000798283, DSF0000798285",445200.0,289534.0,256807.0,2017-06-28,2017-11-30,2017-10-24,0.6503459119496855,-37,155,2017,0,23,Brooklyn,5.64855515566267,0,1,0,0,0
23,K271,I.S. 522 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,5/18/2017,10/19/2017,6/19/2017,111300,94899,94899,"DSF0000798283, DSF0000798285",111300.0,94899.0,94899.0,2017-05-18,2017-10-19,2017-06-19,0.8526415094339622,-122,154,2017,0,23,Brooklyn,5.046495164334709,0,1,0,0,0
19,K273,P.S. 273 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,8/20/2019,1/24/2020,1/22/2020,23852,4837,4837,"DSF0000912693, DSF0000913020",23852.0,4837.0,4837.0,2019-08-20,2020-01-24,2020-01-22,0.20279221868187153,-2,157,2019,0,19,Brooklyn,4.377524800673702,1,0,0,0,0
32,K274,P.S. 274 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,Design,Complete,6/18/2019,11/19/2019,2/3/2020,112620,87403,82313,"DSF0000872405, DSF0000872406",112620.0,87403.0,82313.0,2019-06-18,2019-11-19,2020-02-03,0.7760877286450009,76,154,2019,0,32,Brooklyn,5.0516155230049895,0,0,1,0,0
32,K274,P.S. 274 - BROOKLYN,SCA CIP,PARAPETS / EXTERIOR MASONRY,Scope,Complete,12/18/2017,5/4/2018,6/13/2019,23176,103213,102782,"DSF0000872405, DSF0000872406",23176.0,103213.0,102782.0,2017-12-18,2018-05-04,2019-06-13,4.45344321712116,405,137,2017,1,32,Brooklyn,4.365038482195706,0,0,1,0,0
22,K277,P.S. 277 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,4/23/2018,9/21/2018,7/25/2018,343860,281476,268597,"DSF0000798258, DSF0000798259",343860.0,281476.0,268597.0,2018-04-23,2018-09-21,2018-07-25,0.8185773279823184,-58,151,2018,0,22,Brooklyn,5.536381658841393,0,1,0,0,0
22,K277,P.S. 277 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,1/2/2018,6/4/2018,4/13/2018,85965,85511,82563,"DSF0000798258, DSF0000798259",85965.0,85511.0,82563.0,2018-01-02,2018-06-04,2018-04-13,0.9947187808992032,-52,153,2018,0,22,Brooklyn,4.934321667513431,0,1,0,0,0
22,K277,P.S. 277 - BROOKLYN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,Complete,7/25/2018,12/27/2018,3/13/2019,25742,38252,37429,DSF0000867379,25742.0,38252.0,37429.0,2018-07-25,2018-12-27,2019-03-13,1.4859762256234947,76,155,2018,1,22,Brooklyn,4.410642285972441,0,0,0,0,0
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Design,Complete,11/14/2018,5/13/2019,5/10/2019,82500,77353,77353,DSF0000888831,82500.0,77353.0,77353.0,2018-11-14,2019-05-13,2019-05-10,0.9376121212121212,-3,180,2018,0,18,Brooklyn,4.9164539485499255,0,0,0,0,0
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Scope,Complete,3/12/2018,7/10/2018,10/16/2018,22500,17953,17953,DSF0000888831,22500.0,17953.0,17953.0,2018-03-12,2018-07-10,2018-10-16,0.7979111111111111,98,120,2018,1,18,Brooklyn,4.352182518111363,0,0,0,0,0
15,K280,EDUCATIONAL CAMPUS @ 500 19TH STREET - BROOKLYN,SCA CIP,PHASE II WORK,Design,Complete,3/17/2016,8/29/2016,4/19/2017,924000,2183251,2093075,DSF0000798184,924000.0,2183251.0,2093075.0,2016-03-17,2016-08-29,2017-04-19,2.3628257575757576,233,165,2016,1,15,Brooklyn,5.9656719712201065,0,0,0,0,0
15,K280,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,SCA CIP,PLAYGROUND,Design,Complete,1/3/2019,5/20/2019,5/17/2019,52690,53823,51408,DSF0000889658,52690.0,53823.0,51408.0,2019-01-03,2019-05-20,2019-05-17,1.0215031315240084,-3,137,2019,0,15,Brooklyn,4.721728198572788,0,0,0,0,0
15,K280,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,SCA CIP,PLAYGROUND,Scope,Complete,9/12/2018,12/13/2018,12/21/2018,14370,13027,13027,DSF0000889658,14370.0,13027.0,13027.0,2018-09-12,2018-12-13,2018-12-21,0.9065414057063327,8,92,2018,0,15,Brooklyn,4.157456768134225,0,0,0,0,0
15,K280,EDUCATIONAL CAMPUS @ 500 19TH STREET - BROOKLYN,SCA CIP,PHASE II WORK,Scope,Complete,3/16/2016,3/16/2016,3/16/2016,231000,715551,715551,DSF0000798184,231000.0,715551.0,715551.0,2016-03-16,2016-03-16,2016-03-16,3.0976233766233765,0,0,2016,1,15,Brooklyn,5.363611979892144,0,0,0,0,0
13,K282,P.S. 282 - BROOKLYN,SCA CIP,PLANYC BOILER / PLANYC CLIMATE CONTROL,Design,Complete,8/1/2019,1/6/2020,2/3/2020,423883,221544,210294,"DSF0000912413, DSF0000895335",423883.0,221544.0,210294.0,2019-08-01,2020-01-06,2020-02-03,0.5226536567873682,28,158,2019,0,13,Brooklyn,5.627245999360768,0,1,0,0,0
13,K282,P.S. 282 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,7/23/2018,12/7/2018,12/20/2018,21616,0,0,"DSF0000889380, DSF0000895336",21616.0,0.0,0.0,2018-07-23,2018-12-07,2018-12-20,0.0,13,137,2018,0,13,Brooklyn,4.334775331677956,1,0,0,0,1
13,K282,P.S. 282 - BROOKLYN,SCA CIP,PLANYC BOILER / PLANYC CLIMATE CONTROL,Scope,Complete,5/29/2019,10/29/2019,8/1/2019,105971,44136,44136,"DSF0000912413, DSF0000895335",105971.0,44136.0,44136.0,2019-05-29,2019-10-29,2019-08-01,0.41649130422474073,-89,153,2019,0,13,Brooklyn,5.025187032593756,0,1,0,0,0
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",Complete,6/18/2019,3/13/2020,11/20/2020,121519,125808,105470,DSF0000867318,121519.0,125808.0,105470.0,2019-06-18,2020-03-13,2020-11-20,1.0352948921567822,252,269,2019,1,22,Brooklyn,5.084644186988133,0,0,0,0,0
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Construction,Complete,6/18/2019,3/13/2020,11/20/2020,345070,269374,217900,DSF0000867318,345070.0,269374.0,217900.0,2019-06-18,2020-03-13,2020-11-20,0.7806358130234445,252,269,2019,1,22,Brooklyn,5.53790720385597,0,0,0,0,0
22,K286,K811 SPED - BROOKLYN,SCA CIP RESOA,FY18 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,12/7/2018,6/5/2019,4/17/2019,23528,10781,10781,DSF0000867318,23528.0,10781.0,10781.0,2018-12-07,2019-06-05,2019-04-17,0.458219993199592,-49,180,2018,0,22,Brooklyn,4.371585011499013,0,0,0,0,0
13,K287,P.S. 287 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,4/15/2020,9/15/2020,7/31/2020,331790,238322,238317,"DSF0000798438, DSF0000895405",331790.0,238322.0,238317.0,2020-04-15,2020-09-15,2020-07-31,0.7182916905271407,-46,153,2020,0,13,Brooklyn,5.520863292447035,0,1,0,0,0
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,3/28/2018,8/27/2018,10/1/2018,515521,456158,440617,"DSF0000872577, DSF0000872578, DSF0000872579",515521.0,456158.0,440617.0,2018-03-28,2018-08-27,2018-10-01,0.8848485318735804,35,152,2018,0,13,Brooklyn,5.712246361177945,0,0,1,0,0
13,K287,P.S. 287 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,12/18/2017,5/4/2018,3/28/2018,128880,120526,114285,"DSF0000872577, DSF0000872578, DSF0000872579",128880.0,120526.0,114285.0,2017-12-18,2018-05-04,2018-03-28,0.9351800124146493,-37,137,2017,0,13,Brooklyn,5.110185527411161,0,0,1,0,0
13,K287,P.S. 287 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,1/17/2020,6/18/2020,4/14/2020,66358,64098,64098,"DSF0000798438, DSF0000895405",66358.0,64098.0,64098.0,2020-01-17,2020-06-18,2020-04-14,0.9659423129087676,-65,153,2020,0,13,Brooklyn,4.821893288111016,0,1,0,0,0
19,K290,P.S. 290 - BROOKLYN,SCA CIP,ROOFS / WINDOWS / PARAPETS,Design,Complete,6/29/2015,12/1/2015,12/9/2015,233049,193684,181777,"DSF0000782401, DSF0000822187, DSF0000805706",233049.0,193684.0,181777.0,2015-06-29,2015-12-01,2015-12-09,0.8310870246171406,8,155,2015,0,19,Brooklyn,5.367447243739689,0,0,1,0,0
