Project Type,Project Phase Name,borough,log_orcamento,duracao_plan,ano_inicio,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade,fator_custo,atraso_dias,alto_risco,DSF Number(s)
SCA CIP RESOA,Construction,Brooklyn,5.782378731877019,239,2019,0,0,0,0,0,0.862179778136858,168,1,DSF0000890803
SCA CIP RESOA,Design,Brooklyn,4.616044681789984,135,2019,0,0,0,0,0,1.5278752814156722,-31,1,DSF0000890803
SCA Capacity,OUTROS,Brooklyn,7.070381765564609,1459,2017,0,0,0,0,0,0.5040349313071824,-326,0,DSF0000798185
SCA Capacity,Construction,Brooklyn,7.9217175355303295,1459,2017,0,0,0,0,0,0.9293978040277168,-326,0,DSF0000798185
SCA Capacity,Design,Brooklyn,6.77481466560213,225,2015,0,0,0,0,0,0.7472311423427297,343,1,DSF0000798185
SCA Capacity,Scope,Brooklyn,6.269664687282225,167,2015,0,0,0,0,0,0.7829027490393142,1,0,DSF0000798185
SCA CIP,Design,Brooklyn,5.659307571459207,154,2018,0,1,0,0,0,0.6788062056271364,-13,0,"DSF0000890591, DSF0000868912"
SCA CIP,Design,Brooklyn,4.850646235183066,138,2019,0,0,0,0,0,0.7354019746121297,148,1,DSF0000889321
SCA CIP,Scope,Brooklyn,4.197445972137104,91,2018,0,0,0,0,0,2.4565244986037067,4,1,DSF0000889321
SCA CIP,Scope,Brooklyn,5.057247580131245,159,2018,0,1,0,0,0,0.5637216232798667,-99,0,"DSF0000890591, DSF0000868912"
SCA CIP,"CM,F&E",Brooklyn,5.793537554515335,539,2017,0,0,0,0,1,1.97692708618199,423,1,DSF0000822095
SCA CIP,Construction,Brooklyn,6.968920524895138,539,2017,0,0,0,0,1,1.2384805639476335,423,1,DSF0000822095
SCA CIP,Design,Brooklyn,5.6959192528314,169,2016,0,0,0,0,1,1.6091560926485398,183,1,DSF0000822095
SCA CIP,Scope,Brooklyn,5.093859261503438,138,2015,0,0,0,0,1,0.9878026183282981,179,1,DSF0000822095
SCA CIP,Design,Brooklyn,4.377105817269054,159,2019,1,0,0,0,0,0.26748919383943937,-6,0,"DSF0000912671, DSF0000913025"
SCA CIP,Design,Brooklyn,5.52572876813568,150,2019,0,0,1,0,0,1.1232862831119907,-100,1,"DSF0000868968, DSF0000868969, DSF0000891709"
SCA CIP,Scope,Brooklyn,4.9332898363872895,141,2018,0,0,1,0,0,0.7814857569291402,26,0,"DSF0000868968, DSF0000868969, DSF0000891709"
SCA CIP RESOA,"CM,F&E",Brooklyn,5.380211241711606,449,2019,0,0,1,0,0,1.4399875,0,1,DSF0000822279
SCA CIP RESOA,Construction,Brooklyn,6.546542663478131,449,2019,0,0,1,0,0,0.9432738636363637,0,0,DSF0000822279
SCA CIP RESOA,Design,Brooklyn,5.380211241711606,159,2017,0,0,1,0,0,0.7547916666666666,472,1,DSF0000822279
SCA CIP,Design,Brooklyn,5.60422605308447,153,2019,0,1,0,0,0,0.9691567164179105,-42,0,"DSF0000890602, DSF0000884667"
SCA CIP,Scope,Brooklyn,5.002166061756507,156,2018,0,1,0,0,0,0.8884676616915423,-75,0,"DSF0000890602, DSF0000884667"
SCA CIP,Design,Brooklyn,4.537428684023508,153,2019,1,0,0,0,0,0.49081783631669035,-6,0,"DSF0000911952, DSF0000912579"
SCA CIP RESOA,Design,Brooklyn,4.445604203273597,136,2019,0,0,0,0,0,0.04032258064516129,201,1,DSF0000890745
SCA CIP,Scope,Brooklyn,4.13804994420489,91,2020,0,0,0,0,1,1.5463542424683452,-26,1,"DSF0000937107, DSF0000961569"
SCA CIP,"CM,F&E",Brooklyn,5.054532622205162,269,2020,1,0,0,0,0,0.3192742924174671,-143,0,"DSF0000911953, DSF0000912599"
SCA CIP,Construction,Brooklyn,5.776358261018629,269,2020,1,0,0,0,0,0.9087122277115047,-143,0,"DSF0000911953, DSF0000912599"
SCA CIP,Design,Brooklyn,4.6749896655394485,153,2019,1,0,0,0,0,0.20270955742486368,-56,0,"DSF0000911953, DSF0000912599"
SCA CIP,Scope,Brooklyn,4.032820149438564,143,2019,1,0,0,0,0,0.21520630505331478,-113,0,"DSF0000911953, DSF0000912599"
SCA CIP,Scope,Brooklyn,4.914898233675936,159,2020,0,1,0,0,0,0.5688096831092999,-95,0,"DSF0000937133, DSF0000961027"
SCA CIP,Design,Brooklyn,5.707212374468409,152,2019,0,0,1,0,0,0.4460889359864987,-83,0,"DSF0000891886, DSF0000891887, DSF0000891885"
SCA CIP,Scope,Brooklyn,5.105152383140447,144,2018,0,0,1,0,0,0.9755484909140861,-25,0,"DSF0000891886, DSF0000891887, DSF0000891885"
SCA CIP,Design,Brooklyn,5.680291991118772,153,2020,0,0,1,0,0,0.6554873974845078,10,0,"DSF0000891902, DSF0000891903, DSF0000891904"
SCA CIP,Scope,Brooklyn,4.981320173259108,132,2019,0,0,1,0,0,1.4202004384591294,38,1,"DSF0000891902, DSF0000891903, DSF0000891904"
SCA CIP,Scope,Brooklyn,4.1076847196558415,141,2019,0,0,0,0,0,1.248400187295146,-5,1,SCA0000059349
SCA CIP,Design,Brooklyn,5.9745209035512525,176,2018,0,0,1,0,0,0.7028981357765477,7,0,"DSF0000867110, DSF0000869208, DSF0000889350, DSF0000869207"
SCA CIP,Scope,Brooklyn,5.372462754362633,237,2017,0,0,1,0,0,1.1265715400668488,0,1,"DSF0000867110, DSF0000869208, DSF0000889350, DSF0000869207"
SCA CIP RESOA,Design,Brooklyn,5.26245108973043,156,2018,0,0,0,0,0,0.7409945355191256,252,1,DSF0000866389
